store_number,item_number,item_description,bottles_sold,Sales_percentage
2178,67524,Kahlua Coffee,1,0.01774622892635315
2465,43031,Bacardi Gold Rum Mini,5,0.08873114463176575
2512,27102,Templeton Rye,18,0.3194321206743567
2512,86251,Juarez Triple Sec,60,1.064773735581189
2515,86843,Ole Smoky Salty Caramel Whiskey,18,0.3194321206743567
2515,986845,Ole Smoky Blackberry Moonshine Mini,48,0.8518189884649512
2522,77487,Tortilla Gold Dss,48,0.8518189884649512
2538,917914,HA Elijah Craig Cask Barrel Proof,18,0.3194321206743567
2544,67557,Kamora Coffee Liqueur,6,0.1064773735581189
2562,38176,Titos Vodka,108,1.9165927240461405
2571,168,Pinnacle Peach w/ Punch Dispenser,180,3.1943212067435667
2571,43034,Bacardi Gold,1,0.01774622892635315
2576,84617,Phillips Root Beer Schnapps,4,0.0709849157054126
2587,38089,Platinum 7x Vodka,48,0.8518189884649512
2591,86507,Paramount Triple Sec,4,0.0709849157054126
2593,27189,Basil Hayden Dark Rye,18,0.3194321206743567
2593,43031,Bacardi Gold Mini,12,0.2129547471162378
2601,86251,Juarez Triple Sec,6,0.1064773735581189
2616,45248,Paramount Gold Rum,24,0.4259094942324756
2619,250,Avion Silver w/Powell & Mahoney Margarita Mix,90,1.5971606033717833
2633,77487,Tortilla Gold Dss,72,1.277728482697427
2633,926577,Glen Oaks Whiskey Buy the Barrel,66,1.1712511091393079
2633,973627,Di Amore Quattro Orange,120,2.129547471162378
2636,56193,Paul Masson Peach Grande Amber Brandy,24,0.4259094942324756
2641,81124,99 Peppermint Mini,2,0.0354924578527063
2643,86112,Dekuyper Triple Sec,2,0.0354924578527063
2647,41846,Everclear Alcohol,36,0.6388642413487134
2665,3135,Jagermeister w/2 Shot Glasses,84,1.4906832298136645
2670,65750,Maestro Agavero Gold,48,0.8518189884649512
2843,45246,Paramount Gold Rum,7,0.12422360248447205
3162,82847,Dekuyper Peachtree,4,0.0709849157054126
3385,86390,Montezuma Triple Sec,216,3.833185448092281
3447,67527,Kahlua Coffee Liqueur,240,4.259094942324756
3447,67586,Kapali Coffee Liqueur,84,1.4906832298136645
3447,86251,Juarez Triple Sec,144,2.555456965394854
3494,77487,Tortilla Gold Dss,768,13.629103815439219
3524,946574,Member's Mark Spiced Rum,288,5.110913930789708
3549,67586,Kapali Coffee Liqueur,36,0.6388642413487134
3705,82187,Arrow Spearmint Schnapps,5,0.08873114463176575
3772,49182,Remy Martin VSOP,24,0.4259094942324756
3772,56193,Paul Masson Peach Grande Amber Brandy,24,0.4259094942324756
3869,43034,Bacardi Gold,1,0.01774622892635315
3963,43031,Bacardi Gold Mini,4,0.0709849157054126
3993,43031,Bacardi Gold Mini,4,0.0709849157054126
3993,43034,Bacardi Gold,7,0.12422360248447205
4057,48099,Hennessy VS,48,0.8518189884649512
4136,77805,Saints N Sinners Apple Pie,108,1.9165927240461405
4152,45247,Paramount Gold Rum,2,0.0354924578527063
4153,15626,Jameson,60,1.064773735581189
4156,86739,Ole Smoky Apple Pie Moonshine 70prf Mini,8,0.1419698314108252
4158,33717,Paramount Sloe Gin,4,0.0709849157054126
4167,67557,Kamora Coffee Liqueur,4,0.0709849157054126
4291,43037,Bacardi Gold Rum,5,0.08873114463176575
4312,86251,Juarez Triple Sec,48,0.8518189884649512
4559,35918,Five O'clock Vodka,30,0.5323868677905945
4829,48106,Hennessy Vs Cognac,60,1.064773735581189
4829,86251,Juarez Triple Sec,240,4.259094942324756
4867,67524,Kahlua Coffee,7,0.12422360248447205
4898,48099,Hennessy VS,24,0.4259094942324756
4962,41844,Everclear Alcohol,3,0.05323868677905945
4971,43040,Bacardi Gold Rum PET,102,1.8101153504880212
5003,48690,Martell VSSD,2,0.0354924578527063
5063,37880,Seagrams Extra Smooth,24,0.4259094942324756
5102,75087,Juarez Gold Dss,1560,27.684117125110912
5113,48099,Hennessy VS,24,0.4259094942324756
5146,67526,Kahlua Coffee,72,1.277728482697427
5166,48099,Hennessy VS,24,0.4259094942324756
5204,35913,Five O'clock Vodka,48,0.8518189884649512
5244,35917,Five O'clock Vodka,2,0.0354924578527063
5416,67528,Kahlua Coffee,3,0.05323868677905945
5446,86112,Dekuyper Triple Sec,6,0.1064773735581189
9001,27357,Cedar Ridge Single Malt Single Barrel Select,90,1.5971606033717833
